report_id,ip_id,ip,reputation,pulses,earliest_pulses_datetime,total_malwares,earliest_malware_datetime,recentmost_malware_datetime,total_urls,earliest_url_datetime,recentmost_url_datetime
1293,330,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
1293,331,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
1306,332,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
1306,333,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
1308,334,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
1308,335,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
1313,336,85.13.236.154,0,3,2020-01-02,20,2016-05-18,2019-04-06,93,2018-03-02,2020-05-24
1318,337,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
1318,338,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
1338,339,23.249.162.95,0,0,NA,0,NA,NA,10,2014-06-17,2019-03-01
1364,340,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
1364,341,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
1374,342,23.27.112.143,0,1,2015-07-31,2,2015-03-03,2015-06-08,35,2015-06-08,2021-10-22
1388,344,67.19.9.186,0,0,NA,4,2015-03-30,2020-07-12,1,2018-11-14,2018-11-14
1390,345,69.31.80.180,0,0,NA,2,2015-07-01,2016-05-17,1,2020-12-02,2020-12-02
1390,346,72.247.31.80,0,0,NA,0,NA,NA,0,NA,NA
1390,347,69.31.80.179,0,0,NA,0,NA,NA,7,2012-06-22,2013-03-09
1390,348,65.54.225.100,0,0,NA,0,NA,NA,0,NA,NA
1390,349,62.4.84.56,0,0,NA,1,2016-01-09,2016-01-09,1,2021-04-25,2021-04-25
1394,350,67.228.200.14,0,0,NA,1,2016-01-17,2016-01-17,2,2017-04-10,2019-01-14
1437,351,212.117.175.9,0,0,NA,3,2015-04-23,2022-05-04,1,2018-09-26,2018-09-26
1437,352,212.117.185.10,0,0,NA,0,NA,NA,0,NA,NA
1457,353,182.210.44.161,0,0,NA,2,2015-12-03,2015-12-03,0,NA,NA
1464,354,66.249.83.27,0,0,NA,42,2016-05-19,2016-12-15,0,NA,NA
1464,355,64.233.163.27,0,0,NA,120,2020-04-15,2022-04-17,0,NA,NA
